land,date,election,institut,auftraggeber,methode,befragte,zeitraum,CDU/CSU,SPD,GRÜNE,FDP,LINKE,AfD,BSW,FW,PIRATEN,SSW,NPD,BIW,Sonstige,weitere
baden-wuerttemberg,1992-04-05,1,,,,,,39.6,29.4,9.5,5.9,,,,,,,,,2.9,REP=10.9;ÖDP=1.9
baden-wuerttemberg,1995-11-24,0,Infratest Burke,Stuttgarter Zeitung,T,1005,09.11.–17.11.,43,26,18,4,,,,,,,,,6,REP=3
baden-wuerttemberg,1996-01-19,0,Infratest Burke,Stuttgarter Zeitung,T,1003,04.01.–14.01.,43,26,17,6,,,,,,,,,4,REP=4
baden-wuerttemberg,1996-02-16,0,Infratest Burke,Stuttgarter Zeitung,T,1002,01.02.–08.02.,45,27,14,6,,,,,,,,,4,REP=4
baden-wuerttemberg,1996-03-16,0,Infratest Burke,Stuttgarter Zeitung,T,1508,04.03.–15.03.,42,30.5,14,6,,,,,,,,,,REP=4.5
baden-wuerttemberg,1996-03-24,1,,,,,,41.3,25.1,12.1,9.6,,,,,,,,,1.3,REP=9.1;ÖDP=1.5
baden-wuerttemberg,1999-05-22,0,Infratest dimap,Stuttgarter Zeitung,T,1000,27.04.–19.05.,48,29,9,8,,,,,,,,,2,REP=4
baden-wuerttemberg,1999-10-16,0,Infratest dimap,Stuttgarter Zeitung,T,1000,27.09.–13.10.,49,27,9,7,,,,,,,,,4,REP=4
baden-wuerttemberg,2000-01-13,0,Infratest dimap,SWR,T,1000,05.01.–10.01.,45,31,10,8,,,,,,,,,3,REP=3
baden-wuerttemberg,2000-06-08,0,Forsa,Stuttgarter Zeitung,T 1.001 29.05.–05.06.,,,42,28,8,12,,,,,,,,,4,REP=6
baden-wuerttemberg,2000-07-14,0,Infratest dimap,SWR,T,1000,06.07.–11.07.,44,31,9,9,,,,,,,,,3,REP=4
baden-wuerttemberg,2000-10-20,0,Infratest dimap,SWR,T,1000,12.10.–17.10.,43,32,9,10,,,,,,,,,3,REP=3
baden-wuerttemberg,2000-12-09,0,Forsa,Stuttgarter Zeitung,T 1.006 29.11.–05.12.,,,40,30,10,10,,,,,,,,,4,REP=6
baden-wuerttemberg,2000-12-15,0,Infratest dimap,Badische Zeitung,T,1000,07.12.–12.12.,42,32,9,10,,,,,,,,,3,REP=4
baden-wuerttemberg,2001-01-26,0,Infratest dimap,Badische Zeitung,T,1000,18.01.–23.01.,40,32,10,10,,,,,,,,,3,REP=5
baden-wuerttemberg,2001-02-17,0,Forsa,Stuttgarter Zeitung,T 1.018 08.02.–14.02.,,,39,31,10,10,,,,,,,,,4,REP=6
baden-wuerttemberg,2001-03-01,0,Infratest dimap,SWR,T,1000,19.02.–24.02.,39,35,8,10,,,,,,,,,3,REP=5
baden-wuerttemberg,2001-03-09,0,Forschungsgruppe Wahlen,"ZDF, SZ, Mannheimer Morgen",T,1010,05.03.–08.03.,41,36,8,8,,,,,,,,,2,REP=5
baden-wuerttemberg,2001-03-15,0,Infratest dimap,SWR,T,1000,09.03.–14.03.,41,35,8.5,8.5,,,,,,,,,2,REP=5
baden-wuerttemberg,2001-03-20,0,Forsa,Stuttgarter Zeitung,T 1.004 12.03.–17.03.,,,41,32,8,9,,,,,,,,,4,REP=6
baden-wuerttemberg,2001-03-25,1,,,,,,44.8,33.3,7.7,8.1,,,,,,,,,1.7,REP=4.4
baden-wuerttemberg,2003-02-11,0,Allensbach,Staats- ministerium,T,1100,03.02.–07.02.,54,24,10,8,,,,,,,,,4,
baden-wuerttemberg,2003-09-30,0,Allensbach,Staats- ministerium,T 12.09.–25.09.,,,52,25,11,7,,,,,,,,,5,
baden-wuerttemberg,2004-02-12,0,Infratest dimap,SWR,T,,,52,26,11,8,,,,,,,,,3,
baden-wuerttemberg,2004-07-06,0,Allensbach,Staats- ministerium,T,1000,05.06.–17.06.,50.5,25,11.5,7,,,,,,,,,6,
baden-wuerttemberg,2004-07-27,0,Infratest dimap,SWR,T,1004,23.07.–26.07.,48,23,17,6,,,,,,,,,6,
baden-wuerttemberg,2004-10-17,0,Emnid,FOCUS,T,,,49,26,15,7,,,,,,,,,3,
baden-wuerttemberg,2004-10-19,0,IfM Leipzig,Stuttgarter Zeitung,T,1008,,49,27,13,7,,,,,,,,,4,
baden-wuerttemberg,2004-11-02,0,Forsa,Stern,T,1002,29.10.–30.10.,50,28,9,6,,,,,,,,,7,
baden-wuerttemberg,2004-11-19,0,IfM Leipzig,Stuttgarter Zeitung,T,1000,16.11.–18.11.,49,29,10,6,,,,,,,,,6,
baden-wuerttemberg,2005-10-25,0,Allensbach,Staats- ministerium,T,1000,28.09.–13.10.,45,30,8.5,8.5,4,,,,,,,,4,
baden-wuerttemberg,2006-02-02,0,Infratest dimap,SWR,T,1000,30.01.–01.02.,45,29,9,9,,,,,,,,,4,
baden-wuerttemberg,2006-02-10,0,IfM Leipzig,Stuttgarter Zeitung,T,1001,06.02.–08.02.,49,30,7,8,,,,,,,,,2,REP=2
baden-wuerttemberg,2006-03-02,0,Infratest dimap,"ARD, SWR",T,1000,28.02.–01.03.,46,29,10,8,,,,,,,,,4,
baden-wuerttemberg,2006-03-16,0,IfM Leipzig,Stuttgarter Zeitung,T,1008,13.03.–15.03.,43,31,10,9,,,,,,,,,2,REP=3
baden-wuerttemberg,2006-03-16,0,Infratest dimap,SWR,T,1000,13.03.–15.03.,46,28,10,9,,,,,,,,,2,REP=3
baden-wuerttemberg,2006-03-17,0,Forschungsgruppe Wahlen,ZDF,T,1000,13.03.–16.03.,45,30,10,8,,,,,,,,,1,REP=3
baden-wuerttemberg,2006-03-21,0,Emnid,N24,T,1000,07.03.–18.03.,45,29,10,9,,,,,,,,,5,
baden-wuerttemberg,2006-03-26,1,,,,,,44.2,25.2,11.7,10.7,,,,,,,,,2.8,REP=2.5
baden-wuerttemberg,2006-07-06,0,Forsa,n-tv,T,1403,12.06.–04.07.,43,23,12,12,5,,,,,,,,5,
baden-wuerttemberg,2006-12-21,0,Forsa,n-tv,T,1220,20.11.–15.12.,44,20,13,12,4,,,,,,,,5,REP=2
baden-wuerttemberg,2007-03-29,0,Infratest dimap,SWR,T,10001604,,41,26,16,10,2,,,,,,,,5,
baden-wuerttemberg,2007-03-29,0,Infratest dimap,SWR,T,1000,26.03.–27.03.,41,26,14,9,4,,,,,,,,3,Rechte=3
baden-wuerttemberg,2007-04-19,0,Forsa,n-tv,T,,,40,26,13,12,3,,,,,,,,6,
baden-wuerttemberg,2007-07-26,0,Forsa,n-tv,T,1034,02.07.–24.07.,43,19,13,12,6,,,,,,,,7,
baden-wuerttemberg,2008-09-30,0,Uni Halle/ Uni Stuttgart,Stuttgarter Nachrichten,T,1000,08.09.–20.09.,39.9,26,17.2,10.2,4.8,,,,,,,,1.9,
baden-wuerttemberg,2009-06-12,0,Infratest dimap,SWR,T,1000,02.06.–03.06.,40,21,14,15,4,,,,,,,,6,
baden-wuerttemberg,2009-07-07,0,Infratest Sozialforschung,SPD- LT-Fraktion,T,1000,20.04.–03.05.,39,22,15,14,6,,,,,,,,4,
baden-wuerttemberg,2010-02-18,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,100017022010,,43,20,17,11,4,,,,,,,,5,
baden-wuerttemberg,2010-03-17,0,Allensbach,Staats- ministerium,T,1030,24.02.–08.03.,43,21,18,8,5.5,,,,,,,,4.5,
baden-wuerttemberg,2010-04-20,0,Infratest Politikforschung,SPD- LT-Fraktion,T,991,23.03.–13.04.,41,23,17,8,5,,,,,,,,6,
baden-wuerttemberg,2010-07-27,0,Infratest Politikforschung,SPD- LT-Fraktion,T,1000,12.07.–15.07.,37,25,20,7,5,,,,,,,,6,
baden-wuerttemberg,2010-09-01,0,Forsa,Stern,T,1068,16.08.–27.08.,37,24,24,6,4,,,,,,,,5,
baden-wuerttemberg,2010-09-08,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1000,02.09.–07.09.,35,21,27,5,5,,,,,,,,7,
baden-wuerttemberg,2010-10-08,0,abs Marktforschung,Ulmer City Marketing,T,968,05.10.–06.10.,28,17,36,8,7,,,,,,,,,
baden-wuerttemberg,2010-10-09,0,TNS Forschung,SPIEGEL,T,1002,06.10.–07.10.,34,19,32,6,5,,,,,,,,4,
baden-wuerttemberg,2010-11-19,0,Allensbach,Allensbach,F,1096,01.10.–15.10.,38,22,26,5,5,,,,,,,,4,
baden-wuerttemberg,2010-11-26,0,Forschungsgruppe Wahlen,ZDF,T,1910,22.11.–24.11.,39,19,26,5,4,,,,,,,,7,
baden-wuerttemberg,2010-12-02,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,10100112,,39,18,28,5,5,,,,,,,,5,
baden-wuerttemberg,2010-12-19,0,Emnid,Focus,T,1001,07.12.–15.12.,41,19,29,4,4,,,,,,,,3,
baden-wuerttemberg,2011-01-29,0,Emnid,Focus,T,1022,24.01.–27.01.,40,20,27,5,4,,,,,,,,4,
baden-wuerttemberg,2011-02-03,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1000,01.02.–02.02.,39,21,24,6,5,,,,,,,,5,
baden-wuerttemberg,2011-02-04,0,Forschungsgruppe Wahlen,ZDF,T,1146,31.01.–02.02.,41,19,25,6,4,,,,,,,,5,
baden-wuerttemberg,2011-02-13,0,Emnid,Focus,T,1000,04.02.–10.02.,40,19,25,7,4,,,,,,,,5,
baden-wuerttemberg,2011-02-20,0,Emnid,Focus,T,1000,11.02.–17.02.,40,20,23,7,5,,,,,,,,5,
baden-wuerttemberg,2011-02-26,0,Customer Research 42,Schwäbische Zeitung,T,705,08.02.–19.02.,35,21.6,21.2,5.2,5.9,,,,,,,,11.1,
baden-wuerttemberg,2011-02-26,0,Uni Freiburg,Badische Zeitung,T,1126,31.01.–22.02.,41.1,22.7,24.2,6,2.8,,,,,,,,3.2,
baden-wuerttemberg,2011-02-27,0,Emnid,Focus,T,1000,18.02.–24.02.,40,23,22,6,4,,,,,,,,5,
baden-wuerttemberg,2011-03-02,0,Forsa,"Stern, RTL",T,1001,21.02.–25.02.,39,26,19,6,4,,,,,,,,6,
baden-wuerttemberg,2011-03-04,0,Emnid,Focus,T,1000,24.02.–01.03.,38,25,21,8,4,,,,,,,,4,
baden-wuerttemberg,2011-03-11,0,Forsa,"StN, Reutlinger General-Anzeiger",T,1004,03.03.–08.03.,40,26,20,5,4,,,,,,,,5,
baden-wuerttemberg,2011-03-12,0,Emnid,Focus,T,1000,04.03.–10.03.,39,24,20,7,5,,,,,,,,5,
baden-wuerttemberg,2011-03-14,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1001,10.03.–12.03.,42,22,21,6,4,,,,,,,,5,
baden-wuerttemberg,2011-03-17,0,Infratest dimap,ARD,T,1250,14.03.–17.03.,39,22,24,5.5,4.5,,,,,,,,5,
baden-wuerttemberg,2011-03-18,0,Forschungsgruppe Wahlen,ZDF,T,1382,15.03.–17.03.,38,22.5,25,5,4.5,,,,,,,,5,
baden-wuerttemberg,2011-03-20,0,Emnid,Focus,T,5001703,,38,22,25,6,4,,,,,,,,5,
baden-wuerttemberg,2011-03-24,0,Forsa,"stern.de, RTL",T,1025,16.03.–22.03.,38,24,24,5,4,,,,,,,,5,
baden-wuerttemberg,2011-03-25,0,Emnid,Focus,T,1000,18.03.–24.03.,38,23,25,5,4,,,,,,,,5,
baden-wuerttemberg,2011-03-25,0,YouGov,YouGov,O,1003,20.03.–24.03.,36,22,26,6,5,,,,,,,,5,
baden-wuerttemberg,2011-03-27,1,,,,,,39,23.1,24.2,5.3,2.8,,,,2.1,,,,2.4,REP=1.1
baden-wuerttemberg,2011-05-04,0,Forsa,"stern.de, RTL",T,1004,18.04.–29.04.,36,22,30,4,2,,,,,,,,,
baden-wuerttemberg,2011-08-18,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1000,16.08.–17.08.,36,23,29,4,3,,,,,,,,5,
baden-wuerttemberg,2011-11-17,0,Infratest dimap,"SWR, Stuttgarter Zeitung, Uni Stuttgart, Bertelsmann Stift.",T,2403,08.11.–16.11.,37,22,29,3,2,,,,,,,,3,PIR=4
baden-wuerttemberg,2011-11-20,0,Emnid,Focus,T,1002,15.11.–17.11.,34,20,32,4,3,,,,,,,,,PIR=4
baden-wuerttemberg,2012-05-10,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1000,07.05.–08.05.,37,21,28,4,2,,,,,,,,2,PIR=6
baden-wuerttemberg,2013-05-16,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1005,13.05.–15.05.,39,19,28,4,2,2,,,,,,,3,PIR=3
baden-wuerttemberg,2013-11-07,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1004,04.11.–05.11.,43,19,22,4,4,5,,,,,,,3,
baden-wuerttemberg,2014-05-13,0,Infratest dimap,SWR,T,1000,06.05.–11.05.,41,20,21,3,4,6,,,,,,,5,
baden-wuerttemberg,2014-09-17,0,TNS Infratest,SPD-LT Fraktion,T,707,,41,19,23,4,4,4,,,,,,,,
baden-wuerttemberg,2014-11-13,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1000,10.11.–11.11.,41,20,22,3,4,5,,,,,,,5,
baden-wuerttemberg,2015-03-26,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1000,19.03.–24.03.,38,18,25,5,5,4,,,,,,,5,
baden-wuerttemberg,2015-05-12,0,Forsa,stern,T,1010,23.04.–07.05.,38,20,26,4,4,4,,,,,,,4,
baden-wuerttemberg,2015-09-11,0,Allensbach,Allensbach,F,1047,18.07.–12.08.,40.5,20,24,4.5,4,3,,,,,,,4,
baden-wuerttemberg,2015-09-24,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1000,17.09.–22.09.,39,17,26,5,4,5,,,,,,,4,
baden-wuerttemberg,2015-10-09,0,INSA,BILD,T,1003,24.09.–06.10.,40,16,24,5,5,8,,,,,,,2,
baden-wuerttemberg,2015-11-20,0,Forschungsgruppe Wahlen,ZDF,T,1040,16.11.–18.11.,37,18,27,5,3,6,,,,,,,4,
baden-wuerttemberg,2015-12-03,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1000,26.11.–01.12.,37,18,25,5,4,8,,,,,,,3,
baden-wuerttemberg,2015-12-15,0,Forsa,stern,T,1064,02.12.–11.12.,35,19,28,5,3,7,,,,,,,3,
baden-wuerttemberg,2016-01-14,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1000,07.01.–12.01.,35,15,28,6,3,10,,,,,,,3,
baden-wuerttemberg,2016-01-20,0,INSA,CDU-LV,T,1000,11.01.–18.01.,35,13,29,6.5,2.5,11.5,,,,,,,2.5,
baden-wuerttemberg,2016-01-21,0,Forschungsgruppe Wahlen,ZDF,T,1069,18.01.–20.01.,34,15,28,6,3,11,,,,,,,3,
baden-wuerttemberg,2016-02-05,0,INSA,BILD,T,1000,26.01.–01.02.,33.5,13.5,28.5,7,3.5,10,,,,,,,4,
baden-wuerttemberg,2016-02-12,0,Customer Research 42,Schwäbische Zeitung,T,1000,27.01.–07.02.,33.1,15.6,26.1,5.1,5.5,10.5,,,,,,,4.1,
baden-wuerttemberg,2016-02-18,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1000,11.02.–16.02.,31,14,28,8,4,12,,,,,,,3,
baden-wuerttemberg,2016-02-22,0,INSA,BILD,T,1000,19.02.–20.02.,30,16,30.5,7,3,10,,,,,,,3.5,
baden-wuerttemberg,2016-02-26,0,Forsa,"EZ, LKZ, PZ, GEA",T,1069,16.02.–22.02.,30,16,30,6,3,11,,,,,,,4,
baden-wuerttemberg,2016-02-28,0,INSA,BILD,T,1030,25.02.–27.02.,30,16.5,30.5,6.5,3.5,9,,,,,,,4,
baden-wuerttemberg,2016-03-03,0,Infratest dimap,ARD,T,1002,29.02.–02.03.,28,13,32,8,4,13,,,,,,,2,
baden-wuerttemberg,2016-03-04,0,Forschungsgruppe Wahlen,ZDF,T,1058,29.02.–03.03.,30,13,32,7,4,11,,,,,,,3,
baden-wuerttemberg,2016-03-07,0,INSA,BILD,T,1005,01.03.–05.03.,28.5,12.5,33.5,6,3,12.5,,,,,,,4,
baden-wuerttemberg,2016-03-09,0,Forsa,RTL,T,1002,02.03.–08.03.,27,16,32,7,3,11,,,,,,,4,
baden-wuerttemberg,2016-03-10,0,Forschungsgruppe Wahlen,ZDF,T,1711,07.03.–10.03.,29,14,32,6,4,11,,,,,,,4,
baden-wuerttemberg,2016-03-10,0,YouGov,YouGov,O,974,02.03.–09.03.,30,12,32,8,4,11,,,,,,,3,
baden-wuerttemberg,2016-03-13,1,,,,,,27,12.7,30.3,8.3,2.9,15.1,,,,,,,3.7,
baden-wuerttemberg,2016-09-15,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1001,09.09.–13.09.,26,13,31,7,3,17,,,,,,,3,
baden-wuerttemberg,2017-03-09,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1004,03.03.–07.03.,28,20,27,7,4,11,,,,,,,3,
baden-wuerttemberg,2018-01-31,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1003,26.01.–30.01.,29,12,29,8,6,12,,,,,,,4,
baden-wuerttemberg,2018-02-25,0,Forsa,RTL/n-tv,T,1003,08.02.–22.02.,27,12,32,9,4,12,,,,,,,4,
baden-wuerttemberg,2018-09-12,0,INSA,BILD,TOM,1046,01.09.–06.09.,25,12,27,9,5,18,,,,,,,4,
baden-wuerttemberg,2018-09-12,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1003,05.09.–10.09.,28,11,29,7,7,15,,,,,,,3,
baden-wuerttemberg,2019-02-04,0,Forsa,RTL/n-tv,T,1007,29.01.–01.02.,23,9,33,9,6,13,,,,,,,7,
baden-wuerttemberg,2019-02-15,0,INSA,BILD,TOM,1006,07.02.–12.02.,27,13,29,9,5,12,,,,,,,5,
baden-wuerttemberg,2019-03-28,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1002,20.03.–26.03.,28,12,32,9,4,11,,,,,,,4,
baden-wuerttemberg,2019-05-10,0,INSA,BILD,O,1040,06.05.–08.05.,27,11,28,10,6,12,,2,,,,,4,
baden-wuerttemberg,2019-09-19,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1004,16.09.–17.09.,26,8,38,8,3,12,,,,,,,5,
baden-wuerttemberg,2019-10-30,0,INSA,BILD,O,1036,23.10.–28.10.,27,11,30,9,4,13,,,,,,,6,
baden-wuerttemberg,2020-03-12,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1001,05.03.–10.03.,23,11,36,7,5,14,,,,,,,4,
baden-wuerttemberg,2020-04-22,0,INSA,BILD,TOM,1523,15.04.–20.04.,31,13,29,7,4,11,,,,,,,5,
baden-wuerttemberg,2020-04-30,0,Infratest dimap,SWR,T,1003,27.04.–28.04.,30,11,34,6,3,12,,,,,,,4,
baden-wuerttemberg,2020-09-10,0,INSA,BILD,O,1000,02.09.–07.09.,31,12,28,7,5,12,,,,,,,5,
baden-wuerttemberg,2020-10-15,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1001,08.10.–13.10.,29,11,34,6,4,11,,,,,,,5,
baden-wuerttemberg,2020-11-19,0,INSA,BILD,O,1001,10.11.–16.11.,31,11,29,7,5,12,,,,,,,5,
baden-wuerttemberg,2020-12-17,0,Infratest dimap,SWR,T,1001,14.12.–16.12.,30,10,35,7,3,11,,,,,,,4,
baden-wuerttemberg,2021-01-13,0,INSA,BILD,O,1010,05.01.–11.01.,30,12,30,8,4,12,,,,,,,4,
baden-wuerttemberg,2021-02-04,0,Infratest dimap,"SWR, Stuttgarter Zeitung",T,1000,01.02.–02.02.,27,11,34,9,3,10,,,,,,,6,
baden-wuerttemberg,2021-02-05,0,Forschungsgruppe Wahlen,ZDF,T,1032,01.02.–04.02.,28,10,34,9,3,11,,,,,,,5,
baden-wuerttemberg,2021-02-13,0,INSA,BILD,O,1009,08.02.–11.02.,28,11,31,10,4,11,,1,,,,,4,
baden-wuerttemberg,2021-03-04,0,Infratest dimap,ARD,TOM,1185,01.03.–03.03.,25,10,33,10,4,12,,,,,,,6,
baden-wuerttemberg,2021-03-05,0,Forschungsgruppe Wahlen,ZDF,T,1032,01.03.–04.03.,24,10,35,10,3,11,,,,,,,7,
baden-wuerttemberg,2021-03-10,0,INSA,BILD,TOM,1558,01.03.–07.03.,25,10,32,11,3,12,,2,,,,,5,
baden-wuerttemberg,2021-03-11,0,Forschungsgruppe Wahlen,ZDF,T,1867,08.03.–11.03.,24,10,34,11,3,11,,,,,,,7,
baden-wuerttemberg,2021-03-12,0,INSA,BILD,TOM,1066,11.03.–12.03.,23,11,32,11,4,13,,,,,,,6,
baden-wuerttemberg,2021-03-14,1,,,,,,24.1,11,32.6,10.5,3.6,9.7,,3,,,,,5.5,
baden-wuerttemberg,2021-10-12,0,INSA,BILD,O,1000,04.10.–11.10.,20,21,24,16,3,9,,,,,,,7,
baden-wuerttemberg,2021-10-14,0,Infratest dimap,"SWR, Stuttgarter Zeitung",TOM,1162,07.10.–12.10.,17,20,27,15,3,9,,3,,,,,6,
baden-wuerttemberg,2022-01-20,0,Infratest dimap,"SWR, Stuttgarter Zeitung",TOM,1166,13.01.–18.01.,23,16,26,12,4,11,,,,,,,8,
baden-wuerttemberg,2022-03-10,0,Infratest dimap,"SWR, Stuttgarter Zeitung",TOM,1152,04.03.–08.03.,24,18,27,13,3,9,,,,,,,6,
baden-wuerttemberg,2022-04-06,0,INSA,BILD,O,1000,28.03.–04.04.,23,19,25,11,3,10,,,,,,,9,
baden-wuerttemberg,2022-04-21,0,Infratest dimap,SWR,TOM,1170,12.04.–19.04.,26,15,28,11,3,9,,,,,,,8,
baden-wuerttemberg,2022-07-13,0,INSA,BILD,O,1000,04.07.–11.07.,26,14,29,11,3,10,,,,,,,7,
baden-wuerttemberg,2022-10-27,0,Infratest dimap,"SWR, Stuttgarter Zeitung",TOM,1175,20.10.–25.10.,26,15,27,9,3,13,,,,,,,7,
baden-wuerttemberg,2022-11-02,0,INSA,BILD,O,1000,24.10.–31.10.,28,13,26,10,3,13,,,,,,,7,
baden-wuerttemberg,2023-03-23,0,Infratest dimap,"SWR, Stuttgarter Zeitung",TOM,1178,16.03.–21.03.,27,15,26,10,,12,,,,,,,10,
baden-wuerttemberg,2023-04-03,0,INSA,BILD,O,1000,20.03.–27.03.,27,13,28,9,3,12,,,,,,,8,
baden-wuerttemberg,2023-07-20,0,Infratest dimap,"SWR, Stuttgarter Zeitung",TOM,1185,13.07.–18.07.,26,13,24,7,,19,,,,,,,11,
baden-wuerttemberg,2023-09-27,0,Infratest dimap,"SWR, Stuttgarter Zeitung",TOM,1162,21.09.–25.09.,29,12,22,8,,20,,,,,,,9,
baden-wuerttemberg,2024-01-18,0,Infratest dimap,SWR,TOM,1152,11.01.–16.01.,32,9,22,7,,18,,3,,,,,9,
baden-wuerttemberg,2024-03-21,0,INSA,Schwäbische Zeitung,O,1000,04.03.–11.03.,30,11,23,7,3,16,7,,,,,,3,
baden-wuerttemberg,2024-05-16,0,Infratest dimap,"SWR, Stuttgarter Zeitung",TOM,1148,07.05.–14.05.,32,11,22,7,,14,4,3,,,,,7,
baden-wuerttemberg,2024-06-13,0,INSA,BILD,O,1000,04.06.–11.06.,30,12,19,7,3,15,7,,,,,,7,
baden-wuerttemberg,2024-08-15,0,INSA,Schwäbische Zeitung,O,1000,05.08.–12.08.,31,11,19,7,3,16,8,,,,,,5,
baden-wuerttemberg,2024-10-10,0,Infratest dimap,"SWR, Stuttgarter Zeitung",TOM,1166,01.10.–08.10.,34,13,18,5,,16,5,,,,,,9,
baden-wuerttemberg,2024-10-11,0,INSA,Schwäbische Zeitung,TOM,2000,26.09.–04.10.,32,13,18,6,3,18,6,,,,,,4,
baden-wuerttemberg,2024-12-07,0,INSA,Schwäbische Zeitung,O,1000,25.11.–02.12.,34,11,20,6,3,17,6,,,,,,3,
baden-wuerttemberg,2024-12-12,0,Infratest dimap,SWR,TOM,1156,05.12.–10.12.,33,13,22,4,,15,4,,,,,,9,
baden-wuerttemberg,2025-02-15,0,-->INSA-->,Schwäbische Zeitung,O,1000,03.02.–10.02.,31,13,20,5,4,18,5,,,,,,4,
baden-wuerttemberg,2025-02-15,0,INSA,Schwäbische Zeitung,O,1000,03.02.–10.02.,31,13,20,5,4,18,5,,,,,,4,
baden-wuerttemberg,2025-05-09,0,INSA,Schwäbische Zeitung,O,1000,29.04.–06.05.,31,12,17,6,8,19,4,,,,,,3,
baden-wuerttemberg,2025-05-15,0,Infratest dimap,"SWR, Stuttgarter Zeitung",TOM,1146,07.05.–13.05.,31,10,20,5,7,19,4,,,,,,4,
baden-wuerttemberg,2025-10-16,0,INSA,Schwäbische Zeitung,O,1000,07.10.–14.10.,31,11,17,7,7,20,3,,,,,,4,
baden-wuerttemberg,2025-10-16,0,Infratest dimap,"SWR, Stuttgarter Zeitung",TOM,1158,08.10.–14.10.,29,10,20,5,7,21,3,,,,,,5,
baden-wuerttemberg,2026-01-22,0,Infratest dimap,"SWR, Stuttgarter Zeitung",TOM,1168,14.01.–20.01.,29,8,23,5,7,20,,,,,,,8,
baden-wuerttemberg,2026-01-29,0,INSA,NIUS*,O,1000,20.01.–27.01.,29,10,21,5,7,20,3,,,,,,5,
baden-wuerttemberg,2026-02-23,0,INSA,BILD,O,1000,17.02.–23.02.,28,10,22,6,7,20,3,,,,,,4,
baden-wuerttemberg,2026-02-26,0,Infratest dimap,ARD,TOM,1530,23.02.–25.02.,28,7,27,6,5.5,18,,,,,,,8.5,
baden-wuerttemberg,2026-02-27,0,Forschungsgruppe Wahlen,ZDF,TSM,1049,23.02.–26.02.,27,9,25,6,6,19,,,,,,,8,
baden-wuerttemberg,2026-03-04,0,INSA,BILD,O,1000,24.02.–03.03.,27,9,24,6,6,20,,,,,,,8,
baden-wuerttemberg,2026-03-05,0,Forschungsgruppe Wahlen,ZDF,TSM,1069,04.03.–05.03.,28,8,28,5.5,5.5,18,,,,,,,7,
baden-wuerttemberg,2026-03-08,1,,,,,,29.7,5.5,30.2,4.4,4.4,18.8,,,,,,,7,
baden-wuerttemberg,2026-04-10,0,Allensbach,Allensbach,O,1017,02.04.–09.04.,26,5,32,4,5,22,,,,,,,6,
bayern,1990-10-14,1,,,,,,54.9,26,6.4,5.2,,,,,,,,,1.1,REP=4.9;ödp=1.7
bayern,1993-02-22,0,Infratest,Focus,1.002 1?.02.–1?.02,,,39,29,9,6,,,,,,,,,6,REP=11
bayern,1994-09-25,1,,,,,,52.8,30,6.1,2.8,,,,,,,,,2.2,REP=3.9;ödp=2.1
bayern,1997-08-31,0,Forsa,Bild am Sonntag,≈1.000,,,47,33,,,,,,3,,,,,,
bayern,1998-02-21,0,Forschungsgruppe Wahlen,"ZDF, SZ",1.009 16.02.–18.02.,,,46,32,7,3,,,,3,,,,,4,REP=5
bayern,1998-04-03,0,INRA,Sat.1 Bayern,1.000 ??.0?.–??.0?.,,,46,36,5,3,,,,3,,,,,,REP=3
bayern,1998-05-22,0,Forschungsgruppe Wahlen,"ZDF, SZ",1.011 15.05.–19.05.,,,46,34,5,3,,,,2,,,,,3,REP=4;ödp=3
bayern,1998-07-09,0,INRA,Sat.1 Bayern,??.0?.–??.0?.,,,46,35,,,,,,,,,,,,
bayern,1998-08-27,0,Forsa,RTL,,,,47,35,5,3,,,,,,,,,,
bayern,1998-08-28,0,Forschungsgruppe Wahlen,"ZDF, SZ, Antenne Bayern",979 24.08.–26.08.,,,51,32,5,2,,,,3,,,,,3,REP=4
bayern,1998-08-28,0,Infratest dimap,ARD,1.000 21.08.–26.08,,,50,32,5,3,,,,4,,,,,4,REP=2
